authors,title,source,DNA_RNA,DNA,RNA,year,volume_l,filter_size_µm,filter_type,DNA_extr,loci,16S,18S,23S,28S,ITS2,ITS1,cytb,CO1,NADH4,D-loop,12S,rbcL,rrnA,arrA,cbbL,nifH,aprA,rpoC1,pufM,luxA,amoA,mutS,phnD,LSU rDNA,tufA,genome,transcriptome,water,fresh,marine,system,type_organism,id_type,ASV,OTU,Species,max_OTUs,max_ASV,max_spp,max_spp_other,phylum,continent,region,country
"Suzuki, MT; Rappe, MS; Haimberger, ZW; Winfield, H; Adair, N; Strobel, J; Giovannoni, SJ",Bacterial diversity among small-subunit rRNA gene clones and cellular isolates from the same seawater sample,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,1997,16,<0.22,Polysulfone,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Bacteria,Species,0,0,1,NA,NA,58,NA,"Proteobacteria, Bacteroidetes, Actinobacteria",North America,Northeast Pacific,USA
"Rappe, MS; Kemp, PF; Giovannoni, SJ","Phylogenetic diversity of marine coastal picoplankton 16S rRNA genes cloned from the continental shelf off Cape Hatteras, North Carolina",LIMNOLOGY AND OCEANOGRAPHY,DNA,1,0,1997,NA,<0.22,NA,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Bacteria,Species,0,0,1,NA,NA,50,NA,Proteobacteria,North America,Northwest Atlantic,USA
"Podgorsek, L; Petri, R; Imhoff, JF","Cultured and genetic diversity, and activities of sulfur-oxidizing bacteria in low-temperature hydrothermal fluids of the North Fiji Basin",MARINE ECOLOGY PROGRESS SERIES,DNA,1,0,2004,1.5,<0.22,Polycarbonate,QAM_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Deep Ocean,Bacteria,Species,0,0,1,NA,NA,16,NA,NA,Oceania,SOTUh Pacific Ocean,Fiji
"Bernhard, AE; Colbert, D; McManus, J; Field, KG",Microbial community dynamics based on 16S rRNA gene profiles in a Pacific Northwest estuary and its tributaries,FEMS MICROBIOLOGY ECOLOGY,DNA,1,0,2005,1,<0.22,Polyethersulfone,PCI_alt,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Non target,NA,0,0,0,NA,NA,NA,NA,"Proteobacteria, Cyanophyta, Bacteroidetes",North America,Northeast Pacific,USA
"Langlois, RJ; LaRoche, J; Raab, PA",Diazotrophic diversity and distribution in the tropical and subtropical Atlantic ocean,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2005,4.75,<0.22,Polysulfone,QDP_Kit,nifH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Bacteria,Species,0,0,1,NA,NA,170,NA,"Proteobacteria, Cyanophyta",Europe,Northeast Atlantic,Germany
"Burr, MD; Clark, SJ; Spear, CR; Camper, AK",Denaturing gradient gel electrophoresis can rapidly display the bacterial diversity contained in 16S rDNA clone libraries,MICROBIAL ECOLOGY,DNA,1,0,2006,0.2,<0.22,Polycarbonate,MPFD_kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Pond,Bacteria,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,USA
"Hollibaugh, JT; Budinoff, C; Hollibaugh, RA; Ransom, B; Bano, N",Sulfide oxidation coupled to arsenate reduction by a diverse microbial community in a Soda Lake,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2006,0.21,<0.22,NA,QPS_Kit,"rrnA, cbbL, arrA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Bacteria,NA,0,0,0,NA,NA,NA,NA,NA,North America,NA,USA
"Huber, JA; Mark Welch, D; Morrison, HG; Huse, SM; Neal, PR; Butterfield, DA; Sogin, ML",Microbial population structures in the deep marine biosphere,SCIENCE,DNA,1,0,2007,2,<0.22,Polyethersulfone,PCI_alt,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Deep Ocean,Non target,OTU,0,1,0,"1,900",NA,NA,NA,>10,North America,Northeast Pacific,USA
"Meyer, B; Kuever, J","Molecular analysis of the diversity of sulfate-reducing and sulfur-oxidizing prokaryotes in the environment, using aprA as functional marker gene",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2007,15,<0.22,Polyethersulfone,PCI,"aprBA, 16S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Non target,OTU,0,1,0,NA,NA,NA,NA,>10,North America,Caribbean,Montserrat
"Costas, BA; McManus, G; Doherty, M; Katz, LA",Use of species-specific primers and PCR to measure the distributions of planktonic ciliates in coastal waters,LIMNOLOGY AND OCEANOGRAPHY-METHODS,DNA,1,0,2007,5.85,>1,Cellulose_Nitrate,PCI_alt,ITS2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Protozoan,NA,0,0,0,NA,NA,NA,NA,Ciliophora,North America,Northwest Atlantic,USA
"Muhling, M; Woolven-Allen, J; Murrell, JC; Joint, I",Improved group-specific PCR primers for denaturing gradient gel electrophoresis analysis of the genetic diversity of complex microbial communities,ISME JOURNAL,DNA,1,0,2008,5.5,<0.22,Polyethersulfone,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coastal Ocean, Open Ocean",Non target,NA,0,0,0,NA,NA,NA,NA,>10,Europe,Northeast Atlantic,Norway
